(us);(V)
-14.53770082;5.12955093
-14.52770082;5.12955093
-14.51770082;5.04104757
-14.50770082;5.21805477
-14.49770082;5.21805477
-14.48770082;5.12955093
-14.47770082;5.12955093
-14.46770082;5.12955093
-14.45770082;5.12955093
-14.44770082;5.04104757
-14.43770082;5.21805477
-14.42770082;5.12955093
-14.41770082;5.12955093
-14.40770082;5.21805477
-14.39770082;5.12955093
-14.38770082;5.04104757
-14.37770082;5.21805477
-14.36770082;5.21805477
-14.35770082;5.12955093
-14.34770082;5.21805477
-14.33770082;5.12955093
-14.32770082;5.04104757
-14.31770082;5.21805477
-14.30770082;5.12955093
-14.29770082;5.12955093
-14.28770082;5.21805477
