Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 4:56:33 PM,0.2612995,77344.55
4/28/2025 4:56:33 PM,0.2612995,77374.28
4/28/2025 4:56:33 PM,0.2612995,77404.95
4/28/2025 4:56:33 PM,0.2612995,77424.77
4/28/2025 4:56:33 PM,0.2612995,77464.45
4/28/2025 4:56:33 PM,0.2612995,77504.164
4/28/2025 4:56:33 PM,0.2612995,77524.81
4/28/2025 4:56:33 PM,0.2612995,77544.67
4/28/2025 4:56:33 PM,0.2612995,77585.1
4/28/2025 4:56:33 PM,0.2612995,77594.35
4/28/2025 4:56:33 PM,0.2612995,77634.78
4/28/2025 4:56:33 PM,0.2612995,77664.62
4/28/2025 4:56:33 PM,0.2612995,77684.52
4/28/2025 4:56:33 PM,0.2612995,77724.36
4/28/2025 4:56:33 PM,0.2612995,77744.78
4/28/2025 4:56:33 PM,0.2612995,77764.7
4/28/2025 4:56:33 PM,0.2612995,77784.63
4/28/2025 4:56:34 PM,0.2612995,77814.54
4/28/2025 4:56:34 PM,0.2612995,77834.87
4/28/2025 4:56:34 PM,0.2612995,77854.81
4/28/2025 4:56:34 PM,0.2612995,77884.74
4/28/2025 4:56:34 PM,0.2612995,77904.984
4/28/2025 4:56:34 PM,0.2612995,77924.94
4/28/2025 4:56:34 PM,0.2612995,77954.88
4/28/2025 4:56:34 PM,0.2612995,77974.85
4/28/2025 4:56:34 PM,0.2612995,78004.836
4/28/2025 4:56:34 PM,0.2612995,78034.96
4/28/2025 4:56:34 PM,0.26573992,78064.945
4/28/2025 4:56:34 PM,0.2612995,78074.945
4/28/2025 4:56:34 PM,0.2612995,78104.98
4/28/2025 4:56:34 PM,0.2612995,78115
4/28/2025 4:56:34 PM,0.2612995,78155.02
4/28/2025 4:56:34 PM,0.2612995,78225.03
4/28/2025 4:56:34 PM,0.2612995,78255.086
4/28/2025 4:56:34 PM,0.2612995,78285.18
4/28/2025 4:56:34 PM,0.2612995,78305.24
4/28/2025 4:56:34 PM,0.2612995,78325.06
4/28/2025 4:56:34 PM,0.2612995,78355.164
4/28/2025 4:56:34 PM,0.2612995,78395.336
4/28/2025 4:56:34 PM,0.2612995,78405.02
4/28/2025 4:56:34 PM,0.2612995,78455.234
4/28/2025 4:56:34 PM,0.2612995,78465.28
4/28/2025 4:56:34 PM,0.2612995,78485.4
4/28/2025 4:56:34 PM,0.2612995,78525.125
4/28/2025 4:56:34 PM,0.2612995,78555.305
4/28/2025 4:56:34 PM,0.2612995,78575.43
4/28/2025 4:56:34 PM,0.2612995,78605.65
4/28/2025 4:56:34 PM,0.2612995,78635.23
4/28/2025 4:56:34 PM,0.2612995,78665.45
4/28/2025 4:56:34 PM,0.2612995,78694.96
4/28/2025 4:56:34 PM,0.2612995,78715.12
4/28/2025 4:56:34 PM,0.2612995,78735.28
4/28/2025 4:56:34 PM,0.2612995,78765.54
