Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 9:59:27 PM,0.038767666,42712.08
4/28/2025 9:59:27 PM,0.037876524,42795.863
4/28/2025 9:59:27 PM,0.038322095,42913.734
4/28/2025 9:59:27 PM,0.037876524,43052.35
4/28/2025 9:59:27 PM,0.038322095,43169.07
4/28/2025 9:59:27 PM,0.038322095,43302.54
4/28/2025 9:59:27 PM,0.037876524,43458.406
4/28/2025 9:59:27 PM,0.038322095,43586.477
4/28/2025 9:59:27 PM,0.038322095,43703.492
4/28/2025 9:59:27 PM,0.037876524,43825.246
4/28/2025 9:59:27 PM,0.037876524,43942.184
4/28/2025 9:59:27 PM,0.038322095,44087.47
4/28/2025 9:59:27 PM,0.038322095,44225.473
4/28/2025 9:59:27 PM,0.038322095,44342.57
4/28/2025 9:59:27 PM,0.037876524,44459.75
4/28/2025 9:59:27 PM,0.038322095,44594.184
4/28/2025 9:59:27 PM,0.037876524,44754.42
4/28/2025 9:59:27 PM,0.037876524,44912.105
4/28/2025 9:59:27 PM,0.037876524,44995.03
4/28/2025 9:59:27 PM,0.038767666,45112.605
4/28/2025 9:59:27 PM,0.038322095,45212.85
4/28/2025 9:59:27 PM,0.037876524,45295.668
4/28/2025 9:59:27 PM,0.037876524,45402.906
4/28/2025 9:59:27 PM,0.037876524,45514.566
4/28/2025 9:59:27 PM,0.037876524,45620.44
4/28/2025 9:59:27 PM,0.037876524,45738.06
4/28/2025 9:59:27 PM,0.037876524,45832.27
4/28/2025 9:59:27 PM,0.037876524,45938.22
4/28/2025 9:59:27 PM,0.038322095,46056.004
4/28/2025 9:59:27 PM,0.037876524,46150.21
4/28/2025 9:59:27 PM,0.037876524,46256.25
4/28/2025 9:59:27 PM,0.038322095,46403.945
4/28/2025 9:59:27 PM,0.037876524,46516.1
4/28/2025 9:59:27 PM,0.037876524,46598.418
4/28/2025 9:59:27 PM,0.037876524,46674.68
4/28/2025 9:59:28 PM,0.037430953,46774.844
4/28/2025 9:59:28 PM,0.037876524,46868.99
4/28/2025 9:59:28 PM,0.038322095,46975.16
4/28/2025 9:59:28 PM,0.038322095,47087.395
4/28/2025 9:59:28 PM,0.037876524,47181.527
4/28/2025 9:59:28 PM,0.037876524,47275.64
4/28/2025 9:59:28 PM,0.038322095,47394.03
4/28/2025 9:59:28 PM,0.037876524,47494.23
4/28/2025 9:59:28 PM,0.037876524,47594.43
4/28/2025 9:59:28 PM,0.037876524,47712.99
4/28/2025 9:59:28 PM,0.037430953,47827.547
4/28/2025 9:59:28 PM,0.037876524,47919.61
4/28/2025 9:59:28 PM,0.038322095,48021.516
4/28/2025 9:59:28 PM,0.038322095,48158.56
4/28/2025 9:59:28 PM,0.037876524,48252.504
4/28/2025 9:59:28 PM,0.037876524,48358.805
4/28/2025 9:59:28 PM,0.038322095,48471.348
4/28/2025 9:59:28 PM,0.037876524,48577.727
4/28/2025 9:59:28 PM,0.037876524,48684.125
4/28/2025 9:59:28 PM,0.038322095,48771.793
4/28/2025 9:59:28 PM,0.037876524,48903.13
4/28/2025 9:59:28 PM,0.037876524,49021.96
4/28/2025 9:59:28 PM,0.038322095,49166.08
4/28/2025 9:59:28 PM,0.037876524,49272.53
4/28/2025 9:59:28 PM,0.037876524,49398.008
4/28/2025 9:59:28 PM,0.038322095,49522.184
4/28/2025 9:59:28 PM,0.038322095,49641.305
4/28/2025 9:59:28 PM,0.037876524,49747.754
4/28/2025 9:59:28 PM,0.037430953,49873.418
4/28/2025 9:59:28 PM,0.037876524,49973.562
4/28/2025 9:59:28 PM,0.039658807,2163.3782
4/28/2025 9:59:28 PM,0.038767666,340.0682
4/28/2025 9:59:28 PM,0.038767666,333.29776
4/28/2025 9:59:28 PM,0.038322095,463.92517
4/28/2025 9:59:28 PM,0.038767666,552.5888
4/28/2025 9:59:28 PM,0.038322095,692.39294
4/28/2025 9:59:28 PM,0.038322095,798.12463
4/28/2025 9:59:28 PM,0.038767666,917.76794
4/28/2025 9:59:28 PM,0.038767666,1045.5391
4/28/2025 9:59:28 PM,0.038322095,1473.6593
4/28/2025 9:59:29 PM,0.038767666,1979.1666
4/28/2025 9:59:29 PM,0.038322095,2060.5303
4/28/2025 9:59:29 PM,0.038767666,2342.7314
4/28/2025 9:59:29 PM,0.038322095,2495.674
4/28/2025 9:59:29 PM,0.038322095,2615.3254
4/28/2025 9:59:29 PM,0.037876524,2712.3113
4/28/2025 9:59:29 PM,0.038322095,2810.974
4/28/2025 9:59:29 PM,0.038767666,2903.8896
4/28/2025 9:59:29 PM,0.039213233,3015.205
4/28/2025 9:59:29 PM,0.039213233,3113.3767
4/28/2025 9:59:29 PM,0.036985382,3240.0205
4/28/2025 9:59:29 PM,0.038322095,3327.4717
4/28/2025 9:59:29 PM,0.038322095,3429.7258
4/28/2025 9:59:29 PM,0.038767666,3539.7786
4/28/2025 9:59:29 PM,0.038767666,3640.0095
4/28/2025 9:59:29 PM,0.038322095,3738.0383
4/28/2025 9:59:29 PM,0.038767666,3831.634
4/28/2025 9:59:29 PM,0.038767666,3914.491
4/28/2025 9:59:29 PM,0.038322095,4012.7422
4/28/2025 9:59:29 PM,0.038767666,4120.835
4/28/2025 9:59:29 PM,0.039213233,4229.5054
4/28/2025 9:59:29 PM,0.038767666,4331.683
4/28/2025 9:59:29 PM,0.038767666,4421.9756
4/28/2025 9:59:29 PM,0.038322095,4542.7383
4/28/2025 9:59:29 PM,0.038767666,4643.6875
4/28/2025 9:59:29 PM,0.038767666,4741.7207
4/28/2025 9:59:29 PM,0.038767666,4859.402
4/28/2025 9:59:29 PM,0.038322095,4963.2114
4/28/2025 9:59:29 PM,0.037876524,5069.76
4/28/2025 9:59:29 PM,0.038322095,5183.938
4/28/2025 9:59:29 PM,0.037430953,5283.522
4/28/2025 9:59:29 PM,0.037876524,5369.764
4/28/2025 9:59:29 PM,0.037876524,5473.92
4/28/2025 9:59:29 PM,0.038322095,5617.617
4/28/2025 9:59:29 PM,0.037876524,5724.9414
4/28/2025 9:59:29 PM,0.037430953,5847.066
4/28/2025 9:59:29 PM,0.037876524,5961.427
4/28/2025 9:59:29 PM,0.037430953,6067.9614
4/28/2025 9:59:29 PM,0.037876524,6210.9014
4/28/2025 9:59:29 PM,0.037430953,6322.6084
4/28/2025 9:59:29 PM,0.036985382,6441.639
4/28/2025 9:59:29 PM,0.037430953,6567.674
4/28/2025 9:59:30 PM,0.036985382,6694.6895
4/28/2025 9:59:30 PM,0.036985382,6807.6143
4/28/2025 9:59:30 PM,0.03609424,6925.4336
4/28/2025 9:59:30 PM,0.03609424,7032.8574
4/28/2025 9:59:30 PM,0.035648674,7169.2837
4/28/2025 9:59:30 PM,0.035203103,7274.0205
4/28/2025 9:59:30 PM,0.034757532,7386.511
4/28/2025 9:59:30 PM,0.03342082,7591.831
4/28/2025 9:59:30 PM,0.032529682,7698.0425
4/28/2025 9:59:30 PM,0.03163854,7812.5
4/28/2025 9:59:30 PM,0.030747399,7948.3257
4/28/2025 9:59:30 PM,0.029410688,8043.7583
4/28/2025 9:59:30 PM,0.028072452,8146.402
4/28/2025 9:59:30 PM,0.026288645,8263.996
4/28/2025 9:59:30 PM,0.024506364,8365.855
4/28/2025 9:59:30 PM,0.023169652,8450.297
4/28/2025 9:59:30 PM,0.020941801,8558.609
4/28/2025 9:59:30 PM,0.01826838,8787.169
4/28/2025 9:59:30 PM,0.018713951,8906.594
4/28/2025 9:59:30 PM,0.019605093,9080.782
4/28/2025 9:59:30 PM,0.02049623,9192.365
4/28/2025 9:59:30 PM,0.021387372,9283.776
4/28/2025 9:59:30 PM,0.023169653,9399.257
4/28/2025 9:59:30 PM,0.024506364,9480.699
4/28/2025 9:59:30 PM,0.025843075,9572.907
4/28/2025 9:59:30 PM,0.027179785,9711.252
4/28/2025 9:59:30 PM,0.028072452,9813.683
4/28/2025 9:59:30 PM,0.02896512,9915.865
4/28/2025 9:59:30 PM,0.029856259,10054.697
4/28/2025 9:59:30 PM,0.030747399,10181.451
4/28/2025 9:59:30 PM,0.03163854,10310.195
4/28/2025 9:59:30 PM,0.03208411,10416.666
4/28/2025 9:59:30 PM,0.032529682,10552
4/28/2025 9:59:30 PM,0.03342082,10674.465
4/28/2025 9:59:30 PM,0.03342082,10791.86
4/28/2025 9:59:30 PM,0.03431196,10882.884
4/28/2025 9:59:30 PM,0.03431196,10992.159
4/28/2025 9:59:30 PM,0.034757532,11085.849
4/28/2025 9:59:30 PM,0.03431196,11206.868
4/28/2025 9:59:30 PM,0.034757532,11320.999
4/28/2025 9:59:30 PM,0.035203103,11439.841
4/28/2025 9:59:30 PM,0.035203103,11576.312
4/28/2025 9:59:31 PM,0.034757532,11708.657
4/28/2025 9:59:31 PM,0.035648674,11814.172
4/28/2025 9:59:31 PM,0.035648674,11907.453
4/28/2025 9:59:31 PM,0.03609424,12025.397
4/28/2025 9:59:31 PM,0.03609424,12125.609
4/28/2025 9:59:31 PM,0.036539815,12208.608
4/28/2025 9:59:31 PM,0.036539815,12437.412
4/28/2025 9:59:31 PM,0.03609424,12612.198
4/28/2025 9:59:31 PM,0.036985382,12718.723
4/28/2025 9:59:31 PM,0.036539815,12894.906
4/28/2025 9:59:31 PM,0.036985382,13096.391
4/28/2025 9:59:31 PM,0.03653981,13203.942
4/28/2025 9:59:31 PM,0.037430953,13329.859
4/28/2025 9:59:31 PM,0.037430953,13417.646
4/28/2025 9:59:31 PM,0.036985382,13535.518
4/28/2025 9:59:31 PM,0.036985382,13649.795
4/28/2025 9:59:31 PM,0.036985382,13769.62
4/28/2025 9:59:31 PM,0.036985382,13875.482
4/28/2025 9:59:31 PM,0.037430953,13968.838
4/28/2025 9:59:31 PM,0.036985382,14071.144
4/28/2025 9:59:31 PM,0.036985382,14177.123
4/28/2025 9:59:31 PM,0.036985382,14286.865
4/28/2025 9:59:31 PM,0.037430953,14394.892
4/28/2025 9:59:31 PM,0.036985382,14489.954
4/28/2025 9:59:31 PM,0.037430953,14592.458
4/28/2025 9:59:31 PM,0.037430953,14689.312
4/28/2025 9:59:31 PM,0.037430953,14793.734
4/28/2025 9:59:31 PM,0.037430953,14913.581
4/28/2025 9:59:31 PM,0.036985382,15045.399
4/28/2025 9:59:31 PM,0.037430953,15170.879
4/28/2025 9:59:31 PM,0.036985382,15283.14
4/28/2025 9:59:31 PM,0.037430953,15381.707
4/28/2025 9:59:31 PM,0.036985382,15484.235
4/28/2025 9:59:31 PM,0.037430953,15618.954
4/28/2025 9:59:31 PM,0.037430953,15731.21
4/28/2025 9:59:31 PM,0.037876524,15827.351
4/28/2025 9:59:31 PM,0.037876524,15943.878
4/28/2025 9:59:31 PM,0.037430953,16075.104
4/28/2025 9:59:31 PM,0.037876524,16202.66
4/28/2025 9:59:31 PM,0.037876524,16342.883
4/28/2025 9:59:31 PM,0.037876524,16432.604
4/28/2025 9:59:31 PM,0.037876524,16534.922
4/28/2025 9:59:31 PM,0.037430953,16635.135
4/28/2025 9:59:32 PM,0.037430953,16725.238
4/28/2025 9:59:32 PM,0.037876524,16834.678
4/28/2025 9:59:32 PM,0.036985382,16950.988
4/28/2025 9:59:32 PM,0.037876524,17073.209
4/28/2025 9:59:32 PM,0.037876524,17184.686
4/28/2025 9:59:32 PM,0.037430953,17300.76
4/28/2025 9:59:32 PM,0.037876524,17392.389
4/28/2025 9:59:32 PM,0.037876524,17479.426
4/28/2025 9:59:32 PM,0.037430953,17577.623
4/28/2025 9:59:32 PM,0.037876524,17684.887
4/28/2025 9:59:32 PM,0.037876524,17792.236
4/28/2025 9:59:32 PM,0.036985382,17901.969
4/28/2025 9:59:32 PM,0.037876524,18002.543
4/28/2025 9:59:32 PM,0.037430953,18110.11
4/28/2025 9:59:32 PM,0.037430953,18205.826
4/28/2025 9:59:32 PM,0.037430953,18320.77
4/28/2025 9:59:32 PM,0.037876524,18428.559
4/28/2025 9:59:32 PM,0.037876524,18541.533
4/28/2025 9:59:32 PM,0.037876524,18644.148
4/28/2025 9:59:32 PM,0.037430953,18730.666
4/28/2025 9:59:32 PM,0.037876524,18838.652
4/28/2025 9:59:32 PM,0.037430953,18952.156
4/28/2025 9:59:32 PM,0.037876524,19042.656
4/28/2025 9:59:32 PM,0.037876524,19150.25
4/28/2025 9:59:32 PM,0.037876524,19233.236
4/28/2025 9:59:32 PM,0.037876524,19312.477
4/28/2025 9:59:32 PM,0.037430953,19453.537
4/28/2025 9:59:32 PM,0.037876524,19536.285
4/28/2025 9:59:32 PM,0.03609424,19631.928
4/28/2025 9:59:32 PM,0.037876524,19761.973
4/28/2025 9:59:32 PM,0.037430953,19854.64
4/28/2025 9:59:32 PM,0.037430953,19972.861
4/28/2025 9:59:32 PM,0.037876524,20086.129
4/28/2025 9:59:32 PM,0.037876524,20196.945
4/28/2025 9:59:32 PM,0.037876524,20311.7
4/28/2025 9:59:32 PM,0.038322095,20432.693
4/28/2025 9:59:32 PM,0.037876524,20580.346
4/28/2025 9:59:32 PM,0.038322095,20694.035
4/28/2025 9:59:32 PM,0.037876524,20830.662
4/28/2025 9:59:32 PM,0.037430953,20936.178
4/28/2025 9:59:32 PM,0.038322095,21014.795
4/28/2025 9:59:32 PM,0.037876524,21125.74
