Time,Channel 
(ms),(V)

0.51346100,0.51332134
0.51410100,0.51332134
0.51474100,0.68971831
0.51538100,0.86550492
0.51602100,1.04190195
0.51666100,1.21829891
0.51730100,1.21829891
0.51794100,1.21829891
0.51858100,1.39469588
0.51922100,1.57048249
0.51986100,1.57048249
0.52050100,1.57048249
0.52114100,1.74687946
0.52178100,1.74687946
0.52242100,1.92327642
0.52306100,1.92327642
0.52370100,1.92327642
0.52434100,1.92327642
0.52498100,1.92327642
0.52562100,2.09967351
0.52626100,2.09967351
0.52690100,1.92327642
0.52754100,2.09967351
0.52818100,1.92327642
0.52882100,2.09967351
0.52946100,2.09967351
0.53010100,2.09967351
0.53074100,2.09967351
0.53138100,1.92327642
0.53202100,1.92327642
0.53266100,1.92327642
0.53330100,1.92327642
0.53394100,1.92327642
0.53458100,1.92327642
0.53522100,1.74687946
0.53586100,1.74687946
0.53650100,1.74687946
0.53714100,1.74687946
0.53778100,1.57048249
0.53842100,1.57048249
0.53906100,1.57048249
0.53970100,1.39469588
0.54034100,1.21829891
0.54098100,1.21829891
0.54162100,1.21829891
0.54226100,1.21829891
0.54290100,1.04190195
0.54354100,1.04190195
0.54418100,1.04190195
0.54482100,1.04190195
0.54546100,0.86550492
0.54610100,0.86550492
0.54674100,0.68971831
0.54738100,0.68971831
0.54802100,0.68971831
0.54866100,0.51332134
0.54930100,0.51332134
0.54994100,0.51332134
0.55058100,0.51332134
0.55122100,0.51332134
0.55186100,0.51332134
0.55250100,0.51332134
0.55314100,0.51332134
0.55378100,0.33692434
0.55442100,0.51332134
0.55506100,0.33692434
0.55570100,0.51332134
0.55634100,0.51332134
0.55698100,0.51332134
0.55762100,0.51332134
0.55826100,0.51332134
0.55890100,0.51332134
0.55954100,0.51332134
0.56018100,0.68971831
0.56082100,0.86550492
0.56146100,0.68971831
0.56210100,0.86550492
0.56274100,0.86550492
0.56338100,1.04190195
0.56402100,1.04190195
0.56466100,1.04190195
0.56530100,1.21829891
0.56594100,1.39469588
0.56658100,1.39469588
0.56722100,1.57048249
0.56786100,1.57048249
0.56850100,1.74687946
0.56914100,1.74687946
0.56978100,1.92327642
0.57042100,2.09967351
0.57106100,2.09967351
0.57170100,2.27546000
0.57234100,2.45185709
0.57298100,2.45185709
0.57362100,2.62825394
0.57426100,2.80465102
0.57490100,2.98043752
0.57554100,3.15683460
0.57618100,3.15683460
0.57682100,3.33323169
0.57746100,3.33323169
0.57810100,3.50962853
0.57874100,3.68541527
0.57938100,3.86181211
0.58002100,3.86181211
0.58066100,4.03820896
0.58130100,4.03820896
0.58194100,4.21460629
0.58258100,4.39039278
0.58322100,4.39039278
0.58386100,4.56678963
0.58450100,4.74318695
0.58514100,4.74318695
0.58578100,4.91958380
0.58642100,4.91958380
0.58706100,5.09537029
0.58770100,5.09537029
0.58834100,5.27176714
0.58898100,5.27176714
0.58962100,5.27176714
0.59026100,5.27176714
0.59090100,5.27176714
0.59154100,5.27176714
0.59218100,5.44816446
0.59282100,5.44816446
0.59346100,5.44816446
0.59410100,5.44816446
0.59474100,5.44816446
0.59538100,5.44816446
0.59602100,5.44816446
0.59666100,5.44816446
0.59730100,5.27176714
0.59794100,5.27176714
0.59858100,5.27176714
0.59922100,5.27176714
0.59986100,5.27176714
0.60050100,5.27176714
0.60114100,5.09537029
0.60178100,4.91958380
0.60242100,4.91958380
0.60306100,4.74318695
0.60370100,4.74318695
0.60434100,4.56678963
0.60498100,4.56678963
0.60562100,4.39039278
0.60626100,4.21460629
0.60690100,4.03820896
0.60754100,4.03820896
0.60818100,3.86181211
0.60882100,3.68541527
0.60946100,3.50962853
0.61010100,3.50962853
0.61074100,3.33323169
0.61138100,3.15683460
0.61202100,2.98043752
0.61266100,2.80465102
0.61330100,2.62825394
0.61394100,2.45185709
0.61458100,2.27546000
0.61522100,2.09967351
0.61586100,1.92327642
0.61650100,1.74687946
0.61714100,1.57048249
0.61778100,1.39469588
0.61842100,1.21829891
0.61906100,1.04190195
0.61970100,0.86550492
0.62034100,0.68971831
0.62098100,0.51332134
0.62162100,0.33692434
0.62226100,0.16052736
0.62290100,-0.01525925
0.62354100,-0.01525925
0.62418100,-0.36744285
0.62482100,-0.36744285
0.62546100,-0.54383981
0.62610100,-0.72023684
0.62674100,-0.89602345
0.62738100,-1.07242048
0.62802100,-1.07242048
0.62866100,-1.24881744
0.62930100,-1.42521441
0.62994100,-1.60100102
0.63058100,-1.77739799
0.63122100,-1.77739799
0.63186100,-1.95379496
0.63250100,-1.95379496
0.63314100,-1.95379496
0.63378100,-2.13019204
0.63442100,-2.13019204
0.63506100,-2.30597854
0.63570100,-2.30597854
0.63634100,-2.48237562
0.63698100,-2.48237562
0.63762100,-2.48237562
0.63826100,-2.48237562
0.63890100,-2.65877247
0.63954100,-2.65877247
0.64018100,-2.65877247
0.64082100,-2.65877247
0.64146100,-2.83516955
0.64210100,-2.65877247
0.64274100,-2.65877247
0.64338100,-2.65877247
0.64402100,-2.65877247
0.64466100,-2.65877247
0.64530100,-2.65877247
0.64594100,-2.65877247
0.64658100,-2.65877247
0.64722100,-2.65877247
0.64786100,-2.48237562
0.64850100,-2.65877247
0.64914100,-2.48237562
0.64978100,-2.48237562
0.65042100,-2.48237562
0.65106100,-2.30597854
0.65170100,-2.30597854
0.65234100,-2.30597854
0.65298100,-2.30597854
0.65362100,-2.13019204
0.65426100,-2.13019204
0.65490100,-1.95379496
0.65554100,-1.95379496
0.65618100,-1.95379496
0.65682100,-1.95379496
0.65746100,-1.77739799
0.65810100,-1.77739799
0.65874100,-1.77739799
0.65938100,-1.60100102
0.66002100,-1.60100102
0.66066100,-1.60100102
0.66130100,-1.60100102
0.66194100,-1.42521441
0.66258100,-1.42521441
0.66322100,-1.42521441
0.66386100,-1.24881744
0.66450100,-1.24881744
0.66514100,-1.24881744
0.66578100,-1.24881744
0.66642100,-1.24881744
0.66706100,-1.24881744
0.66770100,-1.24881744
0.66834100,-1.07242048
0.66898100,-1.07242048
0.66962100,-1.07242048
0.67026100,-1.07242048
0.67090100,-1.07242048
0.67154100,-1.07242048
0.67218100,-1.07242048
0.67282100,-1.07242048
0.67346100,-1.07242048
0.67410100,-1.07242048
0.67474100,-1.07242048
0.67538100,-1.24881744
0.67602100,-1.07242048
0.67666100,-1.24881744
0.67730100,-1.24881744
0.67794100,-1.24881744
0.67858100,-1.60100102
0.67922100,-1.42521441
0.67986100,-1.60100102
0.68050100,-1.60100102
0.68114100,-1.60100102
0.68178100,-1.77739799
0.68242100,-1.77739799
0.68306100,-1.77739799
0.68370100,-1.95379496
0.68434100,-1.95379496
0.68498100,-2.13019204
0.68562100,-2.30597854
0.68626100,-2.30597854
0.68690100,-2.30597854
0.68754100,-2.48237562
0.68818100,-2.48237562
0.68882100,-2.48237562
0.68946100,-2.65877247
0.69010100,-2.83516955
0.69074100,-2.83516955
0.69138100,-3.01095605
0.69202100,-3.01095605
0.69266100,-3.18735313
0.69330100,-3.18735313
0.69394100,-3.36375022
0.69458100,-3.54014707
0.69522100,-3.54014707
0.69586100,-3.54014707
0.69650100,-3.71593380
0.69714100,-3.71593380
0.69778100,-3.89233065
0.69842100,-3.89233065
0.69906100,-3.89233065
0.69970100,-4.06872749
0.70034100,-4.06872749
0.70098100,-4.06872749
0.70162100,-4.06872749
0.70226100,-4.24512482
0.70290100,-4.24512482
0.70354100,-4.24512482
0.70418100,-4.42091131
0.70482100,-4.42091131
0.70546100,-4.42091131
0.70610100,-4.42091131
0.70674100,-4.59730816
0.70738100,-4.42091131
0.70802100,-4.42091131
0.70866100,-4.42091131
0.70930100,-4.42091131
0.70994100,-4.42091131
0.71058100,-4.42091131
0.71122100,-4.42091131
0.71186100,-4.24512482
0.71250100,-4.24512482
0.71314100,-4.06872749
0.71378100,-4.06872749
0.71442100,-4.06872749
0.71506100,-3.89233065
0.71570100,-3.89233065
0.71634100,-3.89233065
0.71698100,-3.71593380
0.71762100,-3.71593380
0.71826100,-3.71593380
0.71890100,-3.54014707
0.71954100,-3.36375022
0.72018100,-3.36375022
0.72082100,-3.18735313
0.72146100,-3.01095605
0.72210100,-3.01095605
0.72274100,-2.83516955
0.72338100,-2.65877247
0.72402100,-2.48237562
0.72466100,-2.48237562
0.72530100,-2.30597854
0.72594100,-2.13019204
0.72658100,-1.95379496
0.72722100,-1.77739799
0.72786100,-1.60100102
0.72850100,-1.60100102
0.72914100,-1.42521441
0.72978100,-1.07242048
0.73042100,-1.07242048
0.73106100,-0.89602345
0.73170100,-0.72023684
0.73234100,-0.54383981
0.73298100,-0.36744285
0.73362100,-0.19104587
0.73426100,-0.01525925
0.73490100,0.16052736
0.73554100,0.33692434
0.73618100,0.51332134
0.73682100,0.51332134
0.73746100,0.68971831
0.73810100,0.86550492
0.73874100,1.04190195
0.73938100,1.04190195
0.74002100,1.39469588
0.74066100,1.39469588
0.74130100,1.57048249
0.74194100,1.74687946
0.74258100,1.74687946
0.74322100,1.92327642
0.74386100,1.92327642
0.74450100,2.09967351
0.74514100,2.27546000
0.74578100,2.45185709
0.74642100,2.45185709
0.74706100,2.62825394
0.74770100,2.80465102
0.74834100,2.62825394
0.74898100,2.80465102
0.74962100,2.98043752
0.75026100,2.98043752
0.75090100,3.15683460
0.75154100,3.15683460
0.75218100,3.15683460
0.75282100,3.15683460
0.75346100,3.15683460
0.75410100,3.33323169
0.75474100,3.33323169
0.75538100,3.33323169
0.75602100,3.15683460
0.75666100,3.33323169
0.75730100,3.33323169
0.75794100,3.15683460
0.75858100,3.33323169
0.75922100,3.33323169
0.75986100,3.33323169
0.76050100,3.33323169
0.76114100,3.15683460
0.76178100,3.15683460
0.76242100,3.33323169
0.76306100,3.15683460
0.76370100,3.15683460
0.76434100,3.15683460
0.76498100,3.15683460
0.76562100,2.98043752
0.76626100,2.98043752
0.76690100,2.98043752
0.76754100,2.80465102
0.76818100,2.62825394
0.76882100,2.62825394
0.76946100,2.62825394
0.77010100,2.45185709
0.77074100,2.45185709
0.77138100,2.45185709
0.77202100,2.45185709
0.77266100,2.27546000
0.77330100,2.27546000
0.77394100,2.27546000
0.77458100,2.09967351
0.77522100,2.09967351
0.77586100,1.92327642
0.77650100,1.92327642
0.77714100,1.92327642
0.77778100,1.92327642
0.77842100,1.92327642
0.77906100,1.74687946
0.77970100,1.74687946
0.78034100,1.74687946
0.78098100,1.74687946
0.78162100,1.57048249
0.78226100,1.57048249
0.78290100,1.57048249
0.78354100,1.57048249
0.78418100,1.57048249
0.78482100,1.57048249
0.78546100,1.57048249
0.78610100,1.39469588
0.78674100,1.57048249
0.78738100,1.39469588
0.78802100,1.39469588
0.78866100,1.39469588
0.78930100,1.39469588
0.78994100,1.39469588
0.79058100,1.57048249
0.79122100,1.39469588
0.79186100,1.57048249
0.79250100,1.57048249
0.79314100,1.57048249
0.79378100,1.57048249
0.79442100,1.74687946
0.79506100,1.74687946
0.79570100,1.74687946
0.79634100,1.74687946
0.79698100,1.74687946
0.79762100,1.74687946
0.79826100,1.92327642
0.79890100,1.92327642
0.79954100,1.92327642
0.80018100,1.92327642
0.80082100,2.09967351
0.80146100,2.09967351
0.80210100,2.09967351
0.80274100,2.27546000
0.80338100,2.27546000
0.80402100,2.45185709
0.80466100,2.45185709
0.80530100,2.45185709
0.80594100,2.62825394
0.80658100,2.62825394
0.80722100,2.62825394
0.80786100,2.80465102
0.80850100,2.80465102
0.80914100,2.98043752
0.80978100,2.98043752
0.81042100,3.15683460
0.81106100,3.15683460
0.81170100,3.15683460
0.81234100,3.15683460
0.81298100,3.33323169
0.81362100,3.33323169
0.81426100,3.33323169
0.81490100,3.33323169
0.81554100,3.33323169
0.81618100,3.33323169
0.81682099,3.33323169
0.81746099,3.50962853
0.81810099,3.68541527
0.81874099,3.50962853
0.81938099,3.50962853
0.82002099,3.50962853
0.82066099,3.50962853
0.82130099,3.50962853
0.82194099,3.50962853
0.82258099,3.50962853
0.82322099,3.50962853
0.82386099,3.50962853
0.82450099,3.33323169
0.82514099,3.33323169
0.82578099,3.33323169
0.82642099,3.33323169
0.82706099,3.33323169
0.82770099,3.33323169
0.82834099,3.15683460
0.82898099,3.15683460
0.82962099,3.15683460
0.83026099,2.98043752
0.83090099,2.80465102
0.83154099,2.98043752
0.83218099,2.62825394
0.83282099,2.62825394
0.83346099,2.45185709
0.83410099,2.45185709
0.83474099,2.27546000
0.83538099,2.27546000
0.83602099,1.92327642
0.83666099,1.92327642
0.83730099,1.92327642
0.83794099,1.74687946
0.83858099,1.74687946
0.83922099,1.39469588
0.83986099,1.21829891
0.84050099,1.21829891
0.84114099,1.04190195
0.84178099,0.86550492
0.84242099,0.86550492
0.84306099,0.51332134
0.84370099,0.51332134
0.84434099,0.33692434
0.84498099,0.16052736
0.84562099,-0.01525925
0.84626099,-0.01525925
0.84690099,-0.19104587
0.84754099,-0.36744285
0.84818099,-0.36744285
0.84882099,-0.72023684
0.84946099,-0.89602345
0.85010099,-0.89602345
0.85074099,-1.07242048
0.85138099,-1.24881744
0.85202099,-1.42521441
0.85266099,-1.60100102
0.85330099,-1.60100102
0.85394099,-1.77739799
0.85458099,-1.77739799
0.85522099,-1.95379496
0.85586099,-2.13019204
0.85650099,-2.30597854
0.85714099,-2.30597854
0.85778099,-2.48237562
0.85842099,-2.65877247
0.85906099,-2.65877247
0.85970099,-2.65877247
0.86034099,-2.83516955
0.86098099,-3.01095605
0.86162099,-3.01095605
0.86226099,-3.18735313
0.86290099,-3.18735313
0.86354099,-3.18735313
0.86418099,-3.18735313
0.86482099,-3.18735313
0.86546099,-3.36375022
0.86610099,-3.36375022
0.86674099,-3.36375022
0.86738099,-3.54014707
0.86802099,-3.54014707
0.86866099,-3.54014707
0.86930099,-3.54014707
0.86994099,-3.54014707
0.87058099,-3.54014707
0.87122099,-3.54014707
0.87186099,-3.54014707
0.87250099,-3.54014707
0.87314099,-3.54014707
0.87378099,-3.54014707
0.87442099,-3.54014707
0.87506099,-3.54014707
0.87570099,-3.54014707
0.87634099,-3.54014707
0.87698099,-3.36375022
0.87762099,-3.36375022
0.87826099,-3.36375022
0.87890099,-3.36375022
0.87954099,-3.18735313
0.88018099,-3.18735313
0.88082099,-3.18735313
0.88146099,-3.18735313
0.88210099,-3.01095605
0.88274099,-3.01095605
0.88338099,-3.01095605
0.88402099,-2.83516955
0.88466099,-2.83516955
0.88530099,-2.65877247
0.88594099,-2.65877247
0.88658099,-2.65877247
0.88722099,-2.48237562
0.88786099,-2.48237562
0.88850099,-2.48237562
0.88914099,-2.30597854
0.88978099,-2.30597854
0.89042099,-2.30597854
0.89106099,-2.30597854
0.89170099,-2.13019204
0.89234099,-2.13019204
0.89298099,-1.95379496
0.89362099,-1.95379496
0.89426099,-1.77739799
0.89490099,-1.77739799
0.89554099,-1.77739799
0.89618099,-1.77739799
0.89682099,-1.60100102
0.89746099,-1.77739799
0.89810099,-1.60100102
0.89874099,-1.60100102
0.89938099,-1.60100102
0.90002099,-1.60100102
0.90066099,-1.60100102
0.90130099,-1.60100102
0.90194099,-1.60100102
0.90258099,-1.42521441
0.90322099,-1.42521441
0.90386099,-1.42521441
0.90450099,-1.42521441
0.90514099,-1.42521441
0.90578099,-1.24881744
0.90642099,-1.42521441
0.90706099,-1.42521441
0.90770099,-1.42521441
0.90834099,-1.42521441
0.90898099,-1.24881744
0.90962099,-1.42521441
0.91026099,-1.42521441
0.91090099,-1.42521441
0.91154099,-1.42521441
0.91218099,-1.60100102
0.91282099,-1.60100102
0.91346099,-1.60100102
0.91410099,-1.60100102
0.91474099,-1.60100102
0.91538099,-1.60100102
0.91602099,-1.60100102
0.91666099,-1.77739799
0.91730099,-1.77739799
0.91794099,-1.77739799
0.91858099,-1.95379496
0.91922099,-1.95379496
0.91986099,-1.95379496
0.92050099,-1.95379496
0.92114099,-1.95379496
0.92178099,-1.95379496
0.92242099,-1.95379496
0.92306099,-2.13019204
0.92370099,-2.13019204
0.92434099,-2.13019204
0.92498099,-2.30597854
0.92562099,-2.30597854
0.92626099,-2.30597854
0.92690099,-2.48237562
0.92754099,-2.48237562
0.92818099,-2.48237562
0.92882099,-2.48237562
0.92946099,-2.48237562
0.93010099,-2.48237562
0.93074099,-2.48237562
0.93138099,-2.48237562
0.93202099,-2.48237562
0.93266099,-2.48237562
0.93330099,-2.48237562
0.93394099,-2.48237562
0.93458099,-2.48237562
0.93522099,-2.48237562
0.93586099,-2.48237562
0.93650099,-2.48237562
0.93714099,-2.48237562
0.93778099,-2.48237562
0.93842099,-2.30597854
0.93906099,-2.48237562
0.93970099,-2.30597854
0.94034099,-2.30597854
0.94098099,-2.30597854
0.94162099,-2.30597854
0.94226099,-2.13019204
0.94290099,-1.95379496
0.94354099,-2.13019204
0.94418099,-1.95379496
0.94482099,-1.95379496
0.94546099,-1.77739799
0.94610099,-1.77739799
0.94674099,-1.77739799
0.94738099,-1.60100102
0.94802099,-1.60100102
0.94866099,-1.42521441
0.94930099,-1.24881744
0.94994099,-1.24881744
0.95058099,-1.07242048
0.95122099,-0.89602345
0.95186099,-0.89602345
0.95250099,-0.72023684
0.95314099,-0.72023684
0.95378099,-0.54383981
0.95442099,-0.36744285
0.95506099,-0.36744285
0.95570099,-0.19104587
0.95634099,-0.01525925
0.95698099,0.16052736
0.95762099,0.16052736
0.95826099,0.33692434
0.95890099,0.33692434
0.95954099,0.51332134
0.96018099,0.68971831
0.96082099,0.86550492
0.96146099,1.04190195
0.96210099,1.04190195
0.96274099,1.21829891
0.96338099,1.21829891
0.96402099,1.57048249
0.96466099,1.57048249
0.96530099,1.74687946
0.96594099,1.74687946
0.96658099,1.92327642
0.96722099,1.92327642
0.96786099,2.09967351
0.96850099,2.27546000
0.96914099,2.45185709
0.96978099,2.45185709
0.97042099,2.62825394
0.97106099,2.62825394
0.97170099,2.62825394
0.97234099,2.98043752
0.97298099,2.98043752
0.97362099,3.15683460
0.97426099,3.15683460
0.97490099,3.15683460
0.97554099,3.33323169
0.97618099,3.33323169
0.97682099,3.33323169
0.97746099,3.50962853
0.97810099,3.50962853
